name,ticker,market
한국타이어앤테크놀로지,161390,KS
대한전선,001440,KS
LG디스플레이,034220,KS
한전기술,052690,KS
두산밥캣,241560,KS
한미약품,128940,KS
GS,078930,KS
LG씨엔에스,064400,KS
삼성카드,029780,KS
CJ,001040,KS
산일전기,062040,KS
두산로보틱스,454910,KS
BNK금융지주,138930,KS
코웨이,021240,KS
JB금융지주,175330,KS
NC,036570,KS
맥쿼리인프라,088980,KS
오리온,271560,KS
현대제철,004020,KS
에코프로머티,450080,KS
포스코DX,022100,KS
OCI홀딩스,010060,KS
KCC,002380,KS
한화엔진,082740,KS
대덕전자,353200,KS
DB하이텍,000990,KS
SKC,011790,KS
한온시스템,018880,KS
한화생명,088350,KS
넷마블,251270,KS
일진전기,103590,KS
한화비전,489790,KS
현대엘리베이터,017800,KS
LG생활건강,051900,KS
롯데케미칼,011170,KS
DL이앤씨,375500,KS
영원무역,111770,KS
강원랜드,035250,KS
SK바이오사이언스,302440,KS
더존비즈온,012510,KS
신세계,004170,KS
CJ제일제당,097950,KS
에스원,012750,KS
대한조선,439260,KS
서울보증보험,031210,KS
금호석유화학,011780,KS
롯데쇼핑,023530,KS
신영증권,001720,KS
한국가스공사,036460,KS
이수스페셜티케미컬,457190,KS
GS건설,006360,KS
한솔케미칼,014680,KS
HD현대마린엔진,071970,KS
두산퓨얼셀,336260,KS
iM금융지주,139130,KS
팬오션,028670,KS
미래에셋생명,085620,KS
롯데지주,004990,KS
풍산,103140,KS
미래에셋증권2우B,00680K,KS
영원무역홀딩스,009970,KS
에스엘,005850,KS
이마트,139480,KS
롯데에너지머티리얼즈,020150,KS
동서,026960,KS
한미사이언스,008930,KS
씨에스윈드,112610,KS
현대해상,001450,KS
세아베스틸지주,001430,KS
한전KPS,051600,KS
효성,004800,KS
한국카본,017960,KS
코오롱인더,120110,KS
HJ중공업,097230,KS
F&F,383220,KS
케이뱅크,279570,KS
한올바이오파마,009420,KS
HL만도,204320,KS
달바글로벌,483650,KS
CJ대한통운,000120,KS
가온전선,000500,KS
코스맥스,192820,KS
코리안리,003690,KS
한국앤컴퍼니,000240,KS
농심,004370,KS
BGF리테일,282330,KS
DN오토모티브,007340,KS
제일기획,030000,KS
현대위아,011210,KS
미스토홀딩스,081660,KS
SK가스,018670,KS
현대지에프홀딩스,005440,KS
다우기술,023590,KS
코리아써키트,007810,KS
아모레퍼시픽홀딩스,002790,KS
효성티앤씨,298020,KS
호텔신라,008770,KS
SK리츠,395400,KS
한국콜마,161890,KS
현대백화점,069960,KS
SK아이이테크놀로지,361610,KS
시프트업,462870,KS
GS리테일,007070,KS
대신증권,003540,KS
LX인터내셔널,001120,KS
코스모신소재,005070,KS
SK이터닉스,475150,KS
SNT다이내믹스,003570,KS
HD현대에너지솔루션,322000,KS
대웅제약,069620,KS
LS에코에너지,229640,KS
녹십자,006280,KS
STX엔진,077970,KS
동원산업,006040,KS
금호타이어,073240,KS
HDC,012630,KS
한화투자증권,003530,KS
롯데관광개발,032350,KS
오리온홀딩스,001800,KS
IPARK현대산업개발,294870,KS
교보증권,030610,KS
아시아나항공,020560,KS
후성,093370,KS
오뚜기,007310,KS
파라다이스,034230,KS
SK오션플랜트,100090,KS
태광산업,003240,KS
롯데정밀화학,004000,KS
대웅,003090,KS
롯데리츠,330590,KS
동양생명,082640,KS
DL,000210,KS
NHN,181710,KS
한일시멘트,300720,KS
종근당,185750,KS
하이트진로,000080,KS
KB발해인프라,415640,KS
영풍,000670,KS
SK네트웍스,001740,KS
롯데렌탈,089860,KS
SNT에너지,100840,KS
에스디바이오센서,137310,KS
롯데칠성,005300,KS
케이씨텍,281820,KS
파미셀,005690,KS
ESR켄달스퀘어리츠,365550,KS
SK디스커버리,006120,KS
더블유게임즈,192080,KS
롯데웰푸드,280360,KS
세진중공업,075580,KS
엠앤씨솔루션,484870,KS
비에이치,090460,KS
SNT홀딩스,036530,KS
쿠쿠홀딩스,192400,KS
한화리츠,451800,KS
해성디에스,195870,KS
SK케미칼,285130,KS
경동나비엔,009450,KS
대한유화,006650,KS
전진건설로봇,079900,KS
유안타증권,003470,KS
HS효성첨단소재,298050,KS
한화3우B,00088K,KS
GS피앤엘,499790,KS
현대홈쇼핑,057050,KS
NICE평가정보,030190,KS
한샘,009240,KS
솔루엠,248070,KS
일동제약,249420,KS
SNT모티브,064960,KS
디아이,003160,KS
세아제강지주,003030,KS
자화전자,033240,KS
LX세미콘,108320,KS
대한해운,005880,KS
지역난방공사,071320,KS
아이에스동서,010780,KS
KG모빌리티,003620,KS
OCI,456040,KS
보령,003850,KS
한국단자,025540,KS
SK증권,001510,KS
신성이엔지,011930,KS
세방전지,004490,KS
명인제약,317450,KS
코오롱,002020,KS
CJ CGV,079160,KS
삼아알미늄,006110,KS
광전자,017900,KS
부광약품,003000,KS
부국증권,001270,KS
한화손해보험,000370,KS
CJ4우(전환),00104K,KS
F&F홀딩스,007700,KS
PI첨단소재,178920,KS
솔루스첨단소재,336370,KS
LF,093050,KS
동원시스템즈,014820,KS
이노션,214320,KS
SGC에너지,005090,KS
GKL,114090,KS
TKG휴켐스,069260,KS
신풍제약,019170,KS
흥아해운,003280,KS
신한알파리츠,293940,KS
대상,001680,KS
JW중외제약,001060,KS
티엠씨,217590,KS
넥센타이어,002350,KS
애경케미칼,161000,KS
빙그레,005180,KS
세아홀딩스,058650,KS
녹십자홀딩스,005250,KS
현대차증권,001500,KS
롯데손해보험,000400,KS
고려제강,002240,KS
삼화콘덴서,001820,KS
E1,017940,KS
하나투어,039130,KS
미원상사,002840,KS
동아쏘시오홀딩스,000640,KS
맵스리얼티,094800,KS
퍼스텍,010820,KS
한국쉘석유,002960,KS
풍산홀딩스,005810,KS
율촌화학,008730,KS
한전산업,130660,KS
LX홀딩스,383800,KS
코스모화학,005420,KS
금양,001570,KS
미원에스씨,268280,KS
태영건설,009410,KS
삼양바이오팜,0120G0,KS
카프로,006380,KS
일진하이솔루스,271940,KS
삼성FN리츠,448730,KS
프레스티지바이오파마,950210,KS
유니드,014830,KS
KG스틸,016380,KS
DB증권,016610,KS
현대차3우B,005389,KS
쿠쿠홈시스,284740,KS
삼천리,004690,KS
한섬,020000,KS
명신산업,009900,KS
아세아,002030,KS
신대양제지,016590,KS
한일홀딩스,003300,KS
바이오노트,377740,KS
삼양홀딩스,000070,KS
현대그린푸드,453340,KS
동국제강,460860,KS
케이카,381970,KS
우진,105840,KS
신도리코,029530,KS
NICE,034310,KS
제주은행,006220,KS
삼양사,145990,KS
신세계인터내셔날,031430,KS
대원전선,006340,KS
유진투자증권,001200,KS
케이씨,029460,KS
덴티움,145720,KS
한화갤러리아,452260,KS
BGF,027410,KS
풀무원,017810,KS
대덕,008060,KS
드림텍,192650,KS
한세실업,105630,KS
KCC글라스,344820,KS
조광피혁,004700,KS
코람코라이프인프라리츠,357120,KS
DI동일,001530,KS
동아에스티,170900,KS
농심홀딩스,072710,KS
TCC스틸,002710,KS
퍼시스,016800,KS
제주항공,089590,KS
남해화학,025860,KS
INVENI,015360,KS
SPC삼립,005610,KS
아세아시멘트,183190,KS
수산인더스트리,126720,KS
광동제약,009290,KS
두산2우B,000157,KS
트리니티항공,091810,KS
세아제강,306200,KS
넥스틸,092790,KS
코람코더원리츠,417310,KS
엠씨넥스,097520,KS
스틱인베스트먼트,026890,KS
일진홀딩스,015860,KS
화신,010690,KS
애경산업,018250,KS
KG케미칼,001390,KS
국도화학,007690,KS
대한제강,084010,KS
한국토지신탁,034830,KS
KISCO홀딩스,001940,KS
제이에스코퍼레이션,194370,KS
HL홀딩스,060980,KS
에코프로,086520,KQ
에코프로비엠,247540,KQ
알테오젠,196170,KQ
레인보우로보틱스,277810,KQ
삼천당제약,000250,KQ
코오롱티슈진,950160,KQ
에이비엘바이오,298380,KQ
리노공업,058470,KQ
HLB,028300,KQ
리가켐바이오,141080,KQ
펩트론,087010,KQ
원익IPS,240810,KQ
이오테크닉스,039030,KQ
보로노이,310210,KQ
케어젠,214370,KQ
ISC,095340,KQ
로보티즈,108490,KQ
우리기술,032820,KQ
클래시스,214150,KQ
성호전자,043260,KQ
HPSP,403870,KQ
현대무벡스,319400,KQ
올릭스,226950,KQ
펄어비스,263750,KQ
디앤디파마텍,347850,KQ
티씨케이,064760,KQ
솔브레인,357780,KQ
휴젤,145020,KQ
에임드바이오,0009K0,KQ
주성엔지니어링,036930,KQ
파마리서치,214450,KQ
비에이치아이,083650,KQ
유진테크,084370,KQ
서진시스템,178320,KQ
파두,440110,KQ
에스티팜,237690,KQ
실리콘투,257720,KQ
심텍,222800,KQ
동진쎄미켐,005290,KQ
메지온,140410,KQ
알지노믹스,476830,KQ
셀트리온제약,068760,KQ
피에스케이홀딩스,031980,KQ
비츠로셀,082920,KQ
에스피지,058610,KQ
RFHIC,218410,KQ
미래에셋벤처투자,100790,KQ
피에스케이,319660,KQ
원익홀딩스,030530,KQ
대한광통신,010170,KQ
하나마이크론,067310,KQ
스피어,347700,KQ
고영,098460,KQ
JYP Ent.,035900,KQ
에스앤에스텍,101490,KQ
에스엠,041510,KQ
두산테스나,131970,KQ
오스코텍,039200,KQ
테크윙,089030,KQ
대주전자재료,078600,KQ
쎄트렉아이,099320,KQ
파크시스템스,140860,KQ
오름테라퓨틱,475830,KQ
티에스이,131290,KQ
씨어스,458870,KQ
엘앤씨바이오,290650,KQ
태성,323280,KQ
삼표시멘트,038500,KQ
테스,095610,KQ
차바이오텍,085660,KQ
LS마린솔루션,060370,KQ
신성델타테크,065350,KQ
와이씨,232140,KQ
삼현,437730,KQ
코미코,183300,KQ
로킷헬스케어,376900,KQ
제이에스링크,127120,KQ
큐리옥스바이오시스템즈,445680,KQ
씨엠티엑스,388210,KQ
리브스메드,491000,KQ
하림지주,003380,KQ
인텔리안테크,189300,KQ
LS머트리얼즈,417200,KQ
제주반도체,080220,KQ
HK이노엔,195940,KQ
레이크머티리얼즈,281740,KQ
아주IB투자,027360,KQ
씨젠,096530,KQ
하나머티리얼즈,166090,KQ
큐리언트,115180,KQ
에이프릴바이오,397030,KQ
현대바이오,048410,KQ
휴림로봇,090710,KQ
덕산네오룩스,213420,KQ
브이엠,089970,KQ
네이처셀,007390,KQ
세미파이브,490470,KQ
피엔티,137400,KQ
케이엠더블유,032500,KQ
하이젠알앤엠,160190,KQ
클로봇,466100,KQ
아이티센글로벌,124500,KQ
CJ ENM,035760,KQ
SFA반도체,036540,KQ
에이치브이엠,295310,KQ
지투지바이오,456160,KQ
동국제약,086450,KQ
태광,023160,KQ
젬백스,082270,KQ
유일로보틱스,388720,KQ
에스티큐브,052020,KQ
솔브레인홀딩스,036830,KQ
카카오게임즈,293490,KQ
앱클론,174900,KQ
기가비스,420770,KQ
제이앤티씨,204270,KQ
스튜디오드래곤,253450,KQ
루닛,328130,KQ
온코닉테라퓨틱스,476060,KQ
에스에프에이,056190,KQ
와이지엔터테인먼트,122870,KQ
필옵틱스,161580,KQ
성광벤드,014620,KQ
쏠리드,050890,KQ
씨아이에스,222080,KQ
태웅,044490,KQ
선익시스템,171090,KQ
코나아이,052400,KQ
성일하이텍,365340,KQ
유진로봇,056080,KQ
메디포스트,078160,KQ
다우데이타,032190,KQ
지아이이노베이션,358570,KQ
나노신소재,121600,KQ
원익QnC,074600,KQ
에프에스티,036810,KQ
큐로셀,372320,KQ
엔켐,348370,KQ
코스메카코리아,241710,KQ
비나텍,126340,KQ
서부T&D,006730,KQ
동운아나텍,094170,KQ
파이버프로,368770,KQ
아이엠바이오로직스,493280,KQ
RF머트리얼즈,327260,KQ
툴젠,199800,KQ
인벤티지랩,389470,KQ
디어유,376300,KQ
제룡전기,033100,KQ
NHN KCP,060250,KQ
뉴로메카,348340,KQ
포스코엠텍,009520,KQ
동성화인텍,033500,KQ
넥스틴,348210,KQ
티엘비,356860,KQ
휴온스글로벌,084110,KQ
넥슨게임즈,225570,KQ
천보,278280,KQ
이엔에프테크놀로지,102710,KQ
GST,083450,KQ
메디톡스,086900,KQ
페니트리움바이오,187660,KQ
코오롱생명과학,102940,KQ
코미팜,041960,KQ
네오셈,253590,KQ
토모큐브,475960,KQ
안랩,053800,KQ
덕산하이메탈,077360,KQ
티에프이,425420,KQ
아난티,025980,KQ
샘씨엔에스,252990,KQ
위메이드,112040,KQ
프로텍,053610,KQ
가온칩스,399720,KQ
이녹스첨단소재,272290,KQ
에이디테크놀로지,200710,KQ
HLB이노베이션,024850,KQ
성우하이텍,015750,KQ
노타,486990,KQ
아이쓰리시스템,214430,KQ
현대힘스,460930,KQ
SOOP,067160,KQ
프로티나,468530,KQ
원텍,336570,KQ
미코,059090,KQ
에스에이엠티,031330,KQ
인투셀,287840,KQ
피노,033790,KQ
카페24,042000,KQ
에코프로에이치엔,383310,KQ
큐렉소,060280,KQ
한국피아이엠,448900,KQ
원익머트리얼즈,104830,KQ
로보스타,090360,KQ
네패스,033640,KQ
서울반도체,046890,KQ
다날,064260,KQ
HLB제약,047920,KQ
아이센스,099190,KQ
인카금융서비스,211050,KQ
비츠로넥스텍,488900,KQ
예스티,122640,KQ
동화기업,025900,KQ
한양이엔지,045100,KQ
지엔씨에너지,119850,KQ
우리기술투자,041190,KQ
빛과전자,069540,KQ
알멕,354320,KQ
이뮨온시아,424870,KQ
우리로,046970,KQ
켐트로닉스,089010,KQ
브이티,018290,KQ
시노펙스,025320,KQ
더블유씨피,393890,KQ
펌텍코리아,251970,KQ
케이아이엔엑스,093320,KQ
엠케이전자,033160,KQ
HLB생명과학,067630,KQ
신라젠,215600,KQ
오이솔루션,138080,KQ
한솔아이원스,114810,KQ
와이지-원,019210,KQ
티앤엘,340570,KQ
코세스,089890,KQ
한라캐스트,125490,KQ
월덱스,101160,KQ
덕산테코피아,317330,KQ
네오위즈,095660,KQ
넥스트바이오메디컬,389650,KQ
감성코퍼레이션,036620,KQ
에스티아이,039440,KQ
오킨스전자,080580,KQ
삼지전자,037460,KQ
유바이오로직스,206650,KQ
삼양컴텍,484590,KQ
한중엔시에스,107640,KQ
보성파워텍,006910,KQ
제우스,079370,KQ
한글과컴퓨터,030520,KQ
파인엠텍,441270,KQ
디케이티,290550,KQ
에코마케팅,230360,KQ
DXVX,180400,KQ
카나프테라퓨틱스,0082N0,KQ
한텍,098070,KQ
한스바이오메드,042520,KQ
하이록코리아,013030,KQ
펨트론,168360,KQ
인화정공,101930,KQ
에이치엠넥스,036170,KQ
한국기업평가,034950,KQ
파트론,091700,KQ
비츠로테크,042370,KQ
메가스터디교육,215200,KQ
헥토파이낸셜,234340,KQ
한국정보통신,025770,KQ
오픈엣지테크놀로지,394280,KQ
셀비온,308430,KQ
엔젤로보틱스,455900,KQ
삼양엔씨켐,482630,KQ
덕양에너젠,0001A0,KQ
나라스페이스테크놀로지,478340,KQ
지노믹트리,228760,KQ
HEM파마,376270,KQ
티로보틱스,117730,KQ
웹젠,069080,KQ
디아이티,110990,KQ
아스테라시스,450950,KQ
GRT,900290,KQ
국일제지,078130,KQ
퓨쳐켐,220100,KQ
엑스게이트,356680,KQ
에스비비테크,389500,KQ
큐리오시스,494120,KQ
유티아이,179900,KQ
위메이드맥스,101730,KQ
엑시콘,092870,KQ
에이스테크,088800,KQ
LS증권,078020,KQ
지씨셀,144510,KQ
DSC인베스트먼트,241520,KQ
한양디지텍,078350,KQ
에치에프알,230240,KQ
컴투스,078340,KQ
그래피,318060,KQ
대명에너지,389260,KQ
쓰리빌리언,394800,KQ
가비아,079940,KQ
네패스아크,330860,KQ
아이티엠반도체,084850,KQ
강스템바이오텍,217730,KQ
슈어소프트테크,298830,KQ
상아프론테크,089980,KQ
휴메딕스,200670,KQ
에스바이오메딕스,304360,KQ
인바디,041830,KQ
강원에너지,114190,KQ
메카로,241770,KQ
바이넥스,053030,KQ
와이바이오로직스,338840,KQ
진성티이씨,036890,KQ
메디아나,041920,KQ
유니테스트,086390,KQ
셀바스AI,108860,KQ
이지홀딩스,035810,KQ
SAMG엔터,419530,KQ
에이스침대,003800,KQ
씨메스,475400,KQ
아모텍,052710,KQ
자람테크놀로지,389020,KQ
칩스앤미디어,094360,KQ
안트로젠,065660,KQ
헬릭스미스,084990,KQ
케이프,064820,KQ
바이오다인,314930,KQ
메쥬,0088M0,KQ
씨앤씨인터내셔널,352480,KQ
서희건설,035890,KQ
오르비텍,046120,KQ
그린광학,0015G0,KQ
엘티씨,170920,KQ
글로벌텍스프리,204620,KQ
LIG아큐버,073490,KQ
바이오플러스,099430,KQ
네오티스,085910,KQ
아이씨티케이,456010,KQ
링크솔루션,474650,KQ
엠로,058970,KQ
슈프리마,236200,KQ
인텍플러스,064290,KQ
신흥에스이씨,243840,KQ
이노스페이스,462350,KQ
하림,136480,KQ
갤럭시아머니트리,094480,KQ
컨텍,451760,KQ
큐라클,365270,KQ
바텍,043150,KQ
콜마비앤에이치,200130,KQ
PS일렉트로닉스,332570,KQ
유니셈,036200,KQ
필에너지,378340,KQ
CJ프레시웨이,051500,KQ
재영솔루텍,049630,KQ
매커스,093520,KQ
그린리소스,402490,KQ
KH바텍,060720,KQ
AP시스템,265520,KQ
아스트,067390,KQ
에코앤드림,101360,KQ
대아티아이,045390,KQ
HLB테라퓨틱스,115450,KQ
오로스테크놀로지,322310,KQ
한선엔지니어링,452280,KQ
오리엔탈정공,014940,KQ
켄코아에어로스페이스,274090,KQ
KG에코솔루션,151860,KQ
에코아이,448280,KQ
신성에스티,416180,KQ
휴온스,243070,KQ
미래나노텍,095500,KQ
싸이맥스,160980,KQ
골프존,215000,KQ
아크릴,0007C0,KQ
제넥신,095700,KQ
케이엔제이,272110,KQ
에이직랜드,445090,KQ
에스엔시스,0008Z0,KQ
유니슨,018000,KQ
삼미금속,012210,KQ
유진기업,023410,KQ
KG이니시스,035600,KQ
바이오니아,064550,KQ
폰드그룹,472850,KQ
인탑스,049070,KQ
나이벡,138610,KQ
한국캐피탈,023760,KQ
유비쿼스홀딩스,078070,KQ
인터플렉스,051370,KQ
에프앤가이드,064850,KQ
스맥,099440,KQ
솔트룩스,304100,KQ
와이엠티,251370,KQ
바이오솔루션,086820,KQ
제이브이엠,054950,KQ
네오팜,092730,KQ
에이팩트,200470,KQ
엠디바이스,226590,KQ
제노코,361390,KQ
상신이디피,091580,KQ
SG,255220,KQ
쿠콘,294570,KQ
마이크로컨텍솔,098120,KQ
제이오,418550,KQ
나우로보틱스,459510,KQ
우주일렉트로,065680,KQ
석경에이티,357550,KQ
LB세미콘,061970,KQ
한라IMS,092460,KQ
에스오에스랩,464080,KQ
모베이스전자,012860,KQ
